Date,Open,High,Low,Close,Adj Close,Volume
09-05-2016,50.490002,50.59,50,50.07,45.912781,17951600
10-05-2016,50.330002,51.099998,50.189999,51.02,46.783905,22891000
11-05-2016,51.130001,51.779999,51,51.049999,46.811417,24039100
12-05-2016,51.200001,51.810001,50.919998,51.509998,47.233212,24102800
13-05-2016,51.439999,51.900002,51.040001,51.080002,46.838917,22592300
16-05-2016,50.799999,51.959999,50.75,51.830002,47.526649,20032000
17-05-2016,51.720001,51.73,50.360001,50.509998,46.64019,27803500
18-05-2016,50.48,51.139999,50.299999,50.810001,46.917206,24907500
19-05-2016,50.470001,50.619999,49.82,50.32,46.464745,23842400
20-05-2016,50.48,51.220001,50.400002,50.619999,46.741768,23905800
23-05-2016,50.599998,50.68,49.98,50.029999,46.196972,26118700
24-05-2016,50.700001,51.709999,50.400002,51.59,47.637455,34757900
25-05-2016,51.919998,52.490002,51.790001,52.119999,48.126846,24040200
26-05-2016,51.93,51.98,51.360001,51.889999,47.914467,24335200
27-05-2016,51.919998,52.32,51.77,52.32,48.31152,17721400
31-05-2016,52.259998,53,52.080002,53,48.939426,37653100
01-06-2016,52.439999,52.950001,52.439999,52.849998,48.800911,25324800
02-06-2016,52.639999,52.740002,51.84,52.48,48.459274,22840800
03-06-2016,52.380001,52.419998,51.599998,51.790001,47.822124,23368300
06-06-2016,51.990002,52.349998,51.889999,52.130001,48.136093,18243300
07-06-2016,52.240002,52.73,52.099998,52.099998,48.108387,20866800
08-06-2016,52.02,52.439999,51.869999,52.040001,48.052975,21149400
09-06-2016,52,52,51.490002,51.619999,47.665154,20305700
10-06-2016,51.049999,52.049999,51.040001,51.48,47.535873,25833200
13-06-2016,49.580002,50.720001,49.060001,50.139999,46.298542,83217800
14-06-2016,49.900002,50.099998,49.57,49.830002,46.012295,42577100
15-06-2016,49.779999,50.119999,49.689999,49.689999,45.883011,33757600
16-06-2016,49.52,50.470001,49.509998,50.389999,46.529392,31188600
17-06-2016,50.41,50.43,49.82,50.130001,46.289314,45710500
20-06-2016,50.639999,50.830002,50.029999,50.07,46.233913,35607900
21-06-2016,50.200001,51.43,50.16,51.189999,47.268101,34097800
22-06-2016,51.080002,51.459999,50.950001,50.990002,47.083431,28816800
23-06-2016,51.279999,52.060001,51.150002,51.91,47.932938,29028800
24-06-2016,49.810001,50.939999,49.52,49.830002,46.012295,133503000
27-06-2016,49.099998,49.150002,48.040001,48.43,44.719547,50216300
28-06-2016,48.919998,49.470001,48.669998,49.439999,45.652176,38140700
29-06-2016,49.91,50.720001,49.799999,50.540001,46.667892,31304000
30-06-2016,50.720001,51.299999,50.5,51.169998,47.24963,28527800
01-07-2016,51.130001,51.720001,51.07,51.16,47.240398,21400400
05-07-2016,50.830002,51.279999,50.740002,51.169998,47.24963,24806400
06-07-2016,50.779999,51.540001,50.389999,51.380001,47.443535,28167500
07-07-2016,51.419998,51.610001,51.07,51.380001,47.443535,19585200
08-07-2016,51.73,52.360001,51.549999,52.299999,48.293056,28391000
11-07-2016,52.5,52.830002,52.470001,52.59,48.560848,22269200
12-07-2016,52.939999,53.400002,52.790001,53.209999,49.133339,27317600
13-07-2016,53.560001,53.860001,53.18,53.509998,49.410351,25356800
14-07-2016,53.84,53.990002,53.580002,53.740002,49.622738,24545500
15-07-2016,53.950001,54,53.209999,53.700001,49.585804,32024400
18-07-2016,53.700001,54.34,53.549999,53.959999,49.825882,31433900
19-07-2016,53.709999,53.900002,52.93,53.09,49.022533,53336500
20-07-2016,56.150002,56.84,55.529999,55.91,51.62648,89893300
21-07-2016,55.98,56.23,55.759998,55.799999,51.524906,32776700
22-07-2016,56.080002,56.630001,55.779999,56.57,52.235912,32157200
25-07-2016,56.470001,56.740002,56.259998,56.73,52.383644,25610600
26-07-2016,56.52,57.290001,56.509998,56.759998,52.411358,28079000
27-07-2016,56.610001,56.799999,56.110001,56.189999,51.885025,32327500
28-07-2016,56,56.369999,55.720001,56.209999,51.903496,37550400
29-07-2016,56.259998,56.759998,56.049999,56.68,52.337479,30558700
01-08-2016,56.599998,56.75,56.139999,56.580002,52.24514,26003400
02-08-2016,56.849998,56.900002,56.310001,56.580002,52.24514,35122000
03-08-2016,56.68,57.110001,56.490002,56.970001,52.605267,22075600
04-08-2016,56.799999,57.52,56.669998,57.389999,52.993095,26587700
05-08-2016,57.650002,58.209999,57.450001,57.959999,53.519417,29335200
08-08-2016,58.060001,58.09,57.779999,58.060001,53.611752,19473500
09-08-2016,58.169998,58.5,58.02,58.200001,53.741028,16920700
10-08-2016,58.16,58.32,57.82,58.02,53.574821,15756900
11-08-2016,58.029999,58.450001,58.029999,58.299999,53.833366,18162300
12-08-2016,58.029999,58.189999,57.619999,57.939999,53.500957,21655200
